               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.027711,            0.026502,            0.021039,              0.6651,             0.77649,             0.73491,             0.45434,            0.028935,            0.022064,            0.022938,            0.006436,            0.006436,            0.006436
                  38,            0.028504,            0.027556,            0.021238,             0.71508,             0.76184,             0.74953,             0.47484,            0.027245,            0.021968,            0.023032,            0.006337,            0.006337,            0.006337
                  39,            0.028505,            0.027357,            0.018883,             0.64173,             0.74199,             0.71507,             0.45962,            0.027631,            0.022177,            0.024126,            0.006238,            0.006238,            0.006238
                  40,            0.027984,            0.027481,            0.019246,             0.69396,             0.79949,             0.77305,             0.47944,            0.027799,            0.021921,            0.020025,            0.006139,            0.006139,            0.006139
                  41,            0.027278,            0.026296,            0.019746,             0.70303,             0.76522,              0.7527,              0.4684,            0.029419,            0.022055,            0.020601,             0.00604,             0.00604,             0.00604
                  42,            0.027712,            0.026585,            0.016993,             0.71175,             0.78551,             0.78347,             0.49909,            0.027091,            0.022548,            0.018924,            0.005941,            0.005941,            0.005941
                  43,            0.027102,            0.025728,            0.017646,             0.69164,             0.76335,             0.77271,             0.48952,            0.027829,            0.022186,            0.021422,            0.005842,            0.005842,            0.005842
                  44,            0.028155,            0.027816,            0.016973,             0.75212,             0.78633,             0.79526,             0.51307,             0.02695,             0.02202,            0.018254,            0.005743,            0.005743,            0.005743
                  45,            0.027195,            0.026066,            0.015888,             0.76352,             0.79135,             0.80346,             0.50818,            0.027024,             0.02186,             0.01646,            0.005644,            0.005644,            0.005644
                  46,            0.026677,            0.026639,            0.015328,             0.77355,             0.77345,             0.81393,             0.53182,            0.025968,            0.021776,            0.018187,            0.005545,            0.005545,            0.005545
                  47,            0.027501,            0.025827,            0.014938,             0.79885,             0.76392,             0.80448,             0.50943,            0.028581,            0.022339,            0.015315,            0.005446,            0.005446,            0.005446
                  48,            0.026718,            0.025489,            0.015062,             0.80329,             0.77402,             0.81472,             0.52987,            0.027341,            0.022023,            0.015017,            0.005347,            0.005347,            0.005347
                  49,            0.026521,            0.026472,             0.01492,             0.83013,             0.76236,             0.83335,             0.53268,            0.026969,            0.022103,            0.013499,            0.005248,            0.005248,            0.005248
                  50,            0.026442,            0.025906,             0.01192,             0.73305,             0.85913,              0.8284,             0.52119,            0.027632,            0.022065,            0.013529,            0.005149,            0.005149,            0.005149
                  51,            0.026722,             0.02631,            0.012926,              0.7897,             0.85069,             0.84212,             0.54438,            0.026401,            0.021924,            0.012177,             0.00505,             0.00505,             0.00505
                  52,            0.025869,            0.027187,            0.012428,             0.82954,             0.78326,             0.83109,             0.53698,            0.027556,            0.022262,            0.013214,            0.004951,            0.004951,            0.004951
                  53,            0.026091,            0.024428,            0.010867,             0.79771,             0.81434,             0.82196,             0.52489,            0.027582,            0.022145,            0.014273,            0.004852,            0.004852,            0.004852
                  54,            0.026187,            0.025488,            0.010698,             0.80003,             0.83202,             0.83135,             0.55293,            0.025737,            0.022042,            0.013103,            0.004753,            0.004753,            0.004753
